timestamp,area_4159,area_4556,area_5161
2013-11-01 00:00:00,224.80853,1134.6389,379.97293
2013-11-01 00:10:00,183.50499,983.85626,371.1227
2013-11-01 00:20:00,204.4313,998.1107,429.29794
2013-11-01 00:30:00,212.37405,962.9543,350.18423
2013-11-01 00:40:00,195.768,935.78217,268.58682
2013-11-01 00:50:00,211.8606,982.6596,326.72635
2013-11-01 01:00:00,218.11395,1101.1825,212.33278
2013-11-01 01:10:00,261.68927,833.3837,231.64255
2013-11-01 01:20:00,175.93375,886.5671,187.80208
2013-11-01 01:30:00,204.93506,871.99164,234.2374
2013-11-01 01:40:00,175.95897,823.7918,174.65265
2013-11-01 01:50:00,188.50415,678.20026,163.1665
2013-11-01 02:00:00,185.85257,656.96497,146.731
2013-11-01 02:10:00,210.17012,611.19904,160.21448
2013-11-01 02:20:00,193.34804,559.6664,131.28262
2013-11-01 02:30:00,181.34715,482.23218,140.67812
2013-11-01 02:40:00,193.0342,471.77176,172.02359
2013-11-01 02:50:00,179.21008,498.20413,166.28693
2013-11-01 03:00:00,178.50423,431.74332,126.676216
2013-11-01 03:10:00,213.55557,385.02478,137.7911
2013-11-01 03:20:00,206.8106,366.21338,160.20485
2013-11-01 03:30:00,175.17155,366.9895,128.46297
2013-11-01 03:40:00,197.03378,335.1529,125.33731
2013-11-01 03:50:00,168.97226,369.97983,135.88809
2013-11-01 04:00:00,164.46248,388.4384,116.53696
2013-11-01 04:10:00,159.40231,471.39313,111.60562
2013-11-01 04:20:00,169.21748,528.7848,130.75717
2013-11-01 04:30:00,149.31512,341.87155,104.88003
2013-11-01 04:40:00,168.92844,313.73407,123.733635
2013-11-01 04:50:00,155.45425,322.86746,133.82503
2013-11-01 05:00:00,155.57454,267.07254,115.54979
2013-11-01 05:10:00,199.38121,289.00076,144.48619
2013-11-01 05:20:00,148.11186,272.84384,169.00014
2013-11-01 05:30:00,144.12645,258.1528,107.0077
2013-11-01 05:40:00,159.8122,268.25168,122.135284
2013-11-01 05:50:00,138.16702,357.4608,134.75923
2013-11-01 06:00:00,137.11569,276.96756,173.82527
2013-11-01 06:10:00,148.21376,313.56088,147.94203
2013-11-01 06:20:00,141.27867,271.55115,169.00839
2013-11-01 06:30:00,125.014984,219.02803,165.70581
2013-11-01 06:40:00,165.19193,231.25917,186.68495
2013-11-01 06:50:00,122.0555,256.4545,201.17188
2013-11-01 07:00:00,126.15569,237.12685,167.58363
2013-11-01 07:10:00,130.9877,257.88776,168.1304
2013-11-01 07:20:00,127.05454,239.26897,200.66805
2013-11-01 07:30:00,136.49104,263.23044,167.8663
2013-11-01 07:40:00,128.79324,256.32898,238.34293
2013-11-01 07:50:00,122.9359,238.80113,249.75131
2013-11-01 08:00:00,120.78218,236.35065,213.69228
2013-11-01 08:10:00,128.98831,254.98524,190.54875
2013-11-01 08:20:00,147.3943,256.96997,187.94547
2013-11-01 08:30:00,134.18338,278.4199,240.91641
2013-11-01 08:40:00,131.78539,311.12326,279.94388
2013-11-01 08:50:00,134.874,321.21835,240.43263
2013-11-01 09:00:00,139.11931,309.41812,221.80194
2013-11-01 09:10:00,131.35843,328.53275,345.13077
2013-11-01 09:20:00,147.19934,353.39432,372.86047
2013-11-01 09:30:00,139.27963,312.78586,319.3891
2013-11-01 09:40:00,153.12152,363.09973,392.99838
2013-11-01 09:50:00,148.70712,410.04504,638.40576
2013-11-01 10:00:00,175.84048,459.83942,548.5708
2013-11-01 10:10:00,219.75519,577.66925,666.2046
2013-11-01 10:20:00,136.86684,536.7073,697.6888
2013-11-01 10:30:00,142.26685,510.8029,1243.952
2013-11-01 10:40:00,142.70291,552.41205,1068.301
2013-11-01 10:50:00,127.402176,507.7207,1035.5774
2013-11-01 11:00:00,159.0622,460.18582,1538.4138
2013-11-01 11:10:00,207.259,478.8744,1318.7714
2013-11-01 11:20:00,177.97113,367.32455,1688.3177
2013-11-01 11:30:00,180.69073,422.99637,2154.8179
2013-11-01 11:40:00,184.70868,421.2009,1835.0947
2013-11-01 11:50:00,127.59932,510.44864,2024.5667
2013-11-01 12:00:00,142.40486,548.70514,2093.1934
2013-11-01 12:10:00,158.01833,535.8504,2302.4646
2013-11-01 12:20:00,172.7982,542.4752,2747.338
2013-11-01 12:30:00,194.51517,512.2654,2892.3586
2013-11-01 12:40:00,175.64897,640.8708,2671.407
2013-11-01 12:50:00,139.47574,586.544,3363.7952
2013-11-01 13:00:00,181.07513,507.3251,2833.562
2013-11-01 13:10:00,165.60515,645.21,3148.7488
2013-11-01 13:20:00,158.2177,616.0712,3313.6472
2013-11-01 13:30:00,132.5066,557.32086,3291.4316
2013-11-01 13:40:00,147.85144,573.99255,3249.712
2013-11-01 13:50:00,151.09845,588.02655,3519.0247
